47,48,60,11,99676968,1.477375383E9,25/10/2016,09:33:03,31.88761,54.3613866,6.0,45,B,13,12.696478
48,49,60,11,99677419,1.477375443E9,25/10/2016,09:34:03,31.88779,54.3634233,0.0,46,B,14,10.016314
49,50,60,11,99678012,1.47737553E9,25/10/2016,09:35:30,31.8896116,54.36514,7.0,47,B,15,18.719772
50,51,60,11,99678822,1.477375646E9,25/10/2016,09:37:26,31.8937333,54.36797,0.0,48,B,16,26.573996
51,52,60,11,99679799,1.477375796E9,25/10/2016,09:39:56,31.8966616,54.3700216,0.0,49,B,17,12.780257
52,53,60,11,99680757,1.477375934E9,25/10/2016,09:42:14,31.9025516,54.3739166,5.0,51,B,19,14.338135
53,54,60,11,99681850,1.477376099E9,25/10/2016,09:44:59,31.9087283,54.3781166,12.0,53,B,21,26.675821
54,55,60,11,99682296,1.477376159E9,25/10/2016,09:45:59,31.9108866,54.3796316,0.0,54,B,22,9.004913
55,56,60,11,99682719,1.477376219E9,25/10/2016,09:46:59,31.913245,54.381205,0.0,55,B,23,33.65137
56,57,60,11,99684389,1.477376466E9,25/10/2016,09:51:06,31.9181516,54.3843266,0.0,1,B,24,25.843655
57,58,60,11,99699422,1.477378684E9,25/10/2016,10:28:04,31.86392,54.331075,2.0,8,B,1,5.961079
58,59,60,11,99701275,1.477378974E9,25/10/2016,10:32:54,31.8741016,54.3289483,26.0,36,B,4,64.03438
59,60,60,11,99701899,1.477379059E9,25/10/2016,10:34:19,31.8763716,54.33234,5.0,37,B,5,47.17239
60,61,60,11,99702458,1.477379137E9,25/10/2016,10:35:37,31.879215,54.3361233,0.0,38,B,6,15.089741
61,62,60,11,99703418,1.477379272E9,25/10/2016,10:37:52,31.884005,54.3446466,15.0,40,B,8,15.213734
62,63,60,11,99704209,1.477379349E9,25/10/2016,10:39:09,31.8859016,54.3503916,39.0,42,B,10,82.611946
63,64,60,11,99704345,1.477379409E9,25/10/2016,10:40:09,31.88702,54.3549566,9.0,43,B,11,54.669697
64,65,60,11,99705379,1.477379576E9,25/10/2016,10:42:56,31.8873216,54.357855,0.0,44,B,12,18.959715
65,66,60,11,99705878,1.477379636E9,25/10/2016,10:43:56,31.8875583,54.3605533,10.0,45,B,13,67.27534
66,67,60,11,99706194,1.477379696E9,25/10/2016,10:44:56,31.887725,54.3625283,7.0,46,B,14,75.36464
67,68,60,11,99707080,1.477379824E9,25/10/2016,10:47:04,31.890145,54.365535,25.0,47,B,15,83.66657
68,69,60,11,99707510,1.477379884E9,25/10/2016,10:48:04,31.8935866,54.3678316,9.0,48,B,16,15.933946
69,70,60,11,99708849,1.477380064E9,25/10/2016,10:51:04,31.8970916,54.3702383,22.0,49,B,17,64.1334
70,71,60,11,99710025,1.477380244E9,25/10/2016,10:54:04,31.9082733,54.377835,6.0,53,B,21,35.28181
71,72,60,11,99711353,1.477380424E9,25/10/2016,10:57:04,31.9136016,54.3815216,16.0,55,B,23,18.98679
72,73,60,11,99713147,1.477380699E9,25/10/2016,11:01:39,31.9182383,54.38414,0.0,1,B,24,9.466061
73,74,60,11,99729583,1.477383118E9,25/10/2016,11:41:58,31.8634716,54.3311033,5.0,8,B,1,43.948845
74,75,60,11,99730439,1.47738324E9,25/10/2016,11:44:00,31.8702333,54.33236,25.0,35,B,3,72.88563
75,76,60,11,99730839,1.4773833E9,25/10/2016,11:45:00,31.87411,54.3289616,28.0,36,B,4,63.891376
76,77,60,11,99731102,1.477383339E9,25/10/2016,11:45:39,31.8759383,54.3318716,25.0,37,B,5,32.35268
77,78,60,11,99731531,1.477383398E9,25/10/2016,11:46:38,31.8793933,54.33643,23.0,38,B,6,40.895847
78,79,60,11,99731943,1.477383455E9,25/10/2016,11:47:35,31.8817966,54.3402533,17.0,39,B,7,56.81151
79,80,60,11,99732276,1.477383499E9,25/10/2016,11:48:19,31.88363,54.3444083,15.0,40,B,8,36.129112
80,81,60,11,99732736,1.477383571E9,25/10/2016,11:49:31,31.88494,54.347605,12.0,41,B,9,24.887363
81,82,60,11,99733430,1.477383666E9,25/10/2016,11:51:06,31.8869116,54.355095,17.0,43,B,11,61.90562
82,83,60,11,99734361,1.477383798E9,25/10/2016,11:53:18,31.88724,54.3578183,0.0,44,B,12,12.790196
83,84,60,11,99734916,1.477383873E9,25/10/2016,11:54:33,31.8876416,54.3610083,4.0,45,B,13,25.757328
84,85,60,11,99735366,1.477383933E9,25/10/2016,11:55:33,31.8878333,54.36344,11.0,46,B,14,13.737554
85,86,60,11,99735779,1.477383988E9,25/10/2016,11:56:28,31.8894566,54.3651983,5.0,47,B,15,0.95966184
86,87,60,11,99737029,1.477384168E9,25/10/2016,11:59:28,31.893655,54.3680816,7.0,48,B,16,21.247387
87,88,60,11,99737919,1.477384288E9,25/10/2016,12:01:28,31.8968683,54.3702866,15.0,49,B,17,44.17475
88,89,60,11,99738292,1.477384341E9,25/10/2016,12:02:21,31.89933,54.37232,19.0,50,B,18,32.87815
89,90,60,11,99738745,1.477384402E9,25/10/2016,12:03:22,31.9023216,54.3740266,4.0,51,B,19,23.787453
90,91,60,11,99739583,1.477384521E9,25/10/2016,12:05:21,31.91039,54.3793766,19.0,54,B,22,61.693085
91,92,60,11,99740314,1.477384623E9,25/10/2016,12:07:03,31.9139016,54.3819216,16.0,55,B,23,66.39922
92,93,60,11,99741414,1.477384778E9,25/10/2016,12:09:38,31.9181983,54.384305,0.0,1,B,24,20.738209
93,94,60,11,99757501,1.477387061E9,25/10/2016,12:47:41,31.863955,54.3310733,0.0,8,B,1,9.809742
94,95,60,11,99758996,1.477387275E9,25/10/2016,12:51:15,31.8715233,54.3315933,34.0,35,B,3,88.8279
95,96,60,11,99759234,1.477387311E9,25/10/2016,12:51:51,31.8741766,54.3290833,25.0,36,B,4,63.36105
